Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2016-03-30,102.35,102.91,102.08,102.31,1568352.0,0.0,1.0,98.84598672069599,99.386814786779,98.585230331692,98.807356144547,1568352.0
2016-03-29,100.3,102.07,99.795,101.92,1824432.0,0.0,1.0,96.866169693071,98.575572687655,96.378458669193,98.430708027097,1824432.0
2016-03-28,100.46,100.88,99.89,100.24,1077136.0,0.0,1.0,97.02069199766599,97.42631304722799,96.470206287546,96.808223828848,1077136.0
2016-03-24,99.4,100.62,98.87,100.35,1576807.0,0.0,1.0,95.99698172972401,97.17521430226101,95.48512659575199,96.91445791325701,1576807.0
2016-03-23,100.0,100.96,99.57,99.58,1343899.0,0.0,1.0,96.57644037195499,97.503574199526,96.161161678356,96.170819322393,1343899.0
2016-03-22,100.08,100.37,99.455,99.93,1435782.0,0.0,1.0,96.65370152425301,96.93377320133101,96.050098771928,96.508836863695,1435782.0
2016-03-21,100.01,100.66,99.76,100.34,1718109.0,0.0,1.0,96.586098015992,97.21384487841,96.344656915063,96.90480026921999,1718109.0
2016-03-18,102.2,102.2,100.15,100.51,3566359.0,0.0,1.0,98.70112206013799,98.70112206013799,96.721305032513,97.068980217852,3566359.0
2016-03-17,99.72,102.9,99.47,101.75,3535081.0,0.0,1.0,96.306026338914,99.377157142742,96.064585237984,98.26652807846399,3535081.0
2016-03-16,98.11,99.98,97.79,99.81,1816954.0,0.0,1.0,94.751145648925,96.55712508388099,94.442101039735,96.39294513524901,1816954.0
2016-03-15,97.07,98.63,97.02,98.41,2124199.0,0.0,1.0,93.74675066905701,95.25334313885901,93.698462448871,95.040874970041,2124199.0
2016-03-14,97.69,98.31,96.69,98.06,2026190.0,0.0,1.0,94.345524599363,94.944298529669,93.379760195644,94.702857428739,2026190.0
2016-03-11,95.55,98.56,95.42,98.46,2680711.0,0.0,1.0,92.278788775403,95.185739630599,92.15323940292,95.089163190227,2680711.0
2016-03-10,95.31,95.81,93.69,94.71,1748499.0,0.0,1.0,92.04700531851101,92.52988752036998,90.482466984485,91.46754667627899,1748499.0
2016-03-09,94.94,95.18,94.26,94.6,1873258.0,0.0,1.0,91.68967248913401,91.921455946027,91.032952694605,91.36131259187,1873258.0
2016-03-08,95.02,95.56,94.365,94.6,1711901.0,0.0,1.0,91.766933641432,92.28844641944,91.134357956996,91.36131259187,1711901.0
2016-03-07,95.46,96.2,95.21,95.6,1987903.0,0.0,1.0,92.19186997906799,92.90653563782101,91.950428878139,92.32707699558901,1987903.0
2016-03-04,95.12,96.33,95.1,95.94,1984559.0,0.0,1.0,91.86351008180401,93.03208501030399,91.844194793729,92.655436892854,1984559.0
2016-03-03,94.8,95.32,94.13,95.3,1879747.0,0.0,1.0,91.554465472614,92.056662962548,90.90740332212098,92.037347674473,1879747.0
2016-03-02,94.39,94.7,93.74,94.62,1645651.0,0.0,1.0,91.158502067089,91.457889032242,90.530755204671,91.380627879944,1645651.0
2016-03-01,92.75,94.79,91.65,94.7,3240607.0,0.0,1.0,89.574648444988,91.544807828576,88.512307600897,91.457889032242,3240607.0
2016-02-29,90.16,93.25,90.01,92.2,3879407.0,0.0,1.0,87.073318639355,90.057530646848,86.928453978797,89.043478022943,3879407.0
2016-02-26,88.8,91.8,87.285,90.01,4730346.0,0.0,1.0,85.75987905029601,88.657172261455,84.29674597866101,86.928453978797,4730346.0
2016-02-25,89.27,90.14,88.96,89.42,4581824.0,0.0,1.0,86.213788320044,87.05400335128,85.914401354891,86.358652980602,4581824.0
2016-02-24,87.57,89.43,87.01,89.03,3775916.0,0.0,1.0,84.571988833721,86.36831062464,84.031160767638,85.98200486315201,3775916.0
2016-02-23,88.87,89.36,87.58,88.02,1967624.0,0.0,1.0,85.827482558557,86.30070711637899,84.581646477758,85.006582815395,1967624.0
2016-02-22,88.02,89.82,88.02,89.24,2633645.0,0.0,1.0,85.006582815395,86.74495874208999,85.006582815395,86.184815387933,2633645.0
2016-02-19,87.41,87.92,86.51,87.32,2750907.0,0.0,1.0,84.417466529126,84.910006375023,83.54827856577799,84.330547732791,2750907.0
2016-02-18,86.09,88.01,85.78,87.5,2799486.0,0.0,1.0,83.142657516216,84.996925171358,82.843270551063,84.504385325461,2799486.0
2016-02-17,86.93,87.34,86.11,86.19,2491796.0,0.0,1.0,83.953899615341,84.349863020866,83.161972804291,83.239233956588,2491796.0
2016-02-16,87.09,87.46,85.98,86.45,1880246.0,0.0,1.0,84.10842191993599,84.465754749312,83.03642343180701,83.490332701555,1880246.0
2016-02-12,85.09,85.82,83.751,85.67,2187998.0,0.0,1.0,82.176893112497,82.881901127212,80.88373457591601,82.73703646665399,2187998.0
2016-02-11,84.65,84.65,83.07,83.66,2891006.0,0.0,1.0,81.75195677486,81.75195677486,80.226049016983,80.795850015178,2891006.0
2016-02-10,85.85,87.13,85.36,85.84,1595520.0,0.0,1.0,82.910874059324,84.147052496085,82.437649501501,82.901216415286,1595520.0
2016-02-09,84.56,85.89,83.91,85.57,2638032.0,0.0,1.0,81.665037978525,82.949504635472,81.037291116108,82.640460026282,2638032.0
2016-02-08,88.41,88.46,84.55,85.41,3025349.0,0.0,1.0,85.383230932846,85.431519153032,81.655380334488,82.48593772168701,3025349.0
2016-02-05,90.7,90.95,88.56,88.84,2046038.0,0.0,1.0,87.594831417363,87.836272518293,85.528095593404,85.798509626445,2046038.0
2016-02-04,90.32,91.8399,90.01,91.09,2385364.0,0.0,1.0,87.22784094395,88.69570626116301,86.928453978797,87.971479534814,2385364.0
2016-02-03,91.76,91.76,88.4,90.49,4310942.0,0.0,1.0,88.618541685306,88.618541685306,85.373573288808,87.392020892582,4310942.0
2016-02-02,92.48,92.84,91.15,91.35,1908360.0,0.0,1.0,89.313892055984,89.661567241323,88.029425399037,88.222578279781,1908360.0
2016-02-01,93.6,93.9,92.83,93.1,2622471.0,0.0,1.0,90.39554818815,90.685277509266,89.651909597286,89.91266598629,2622471.0
2016-01-29,93.64,94.5,92.87,94.34,2744416.0,0.0,1.0,90.43417876429899,91.264736151498,89.690540173435,91.110213846903,2744416.0
2016-01-28,92.63,93.45,92.34,92.51,1950303.0,0.0,1.0,89.458756716542,90.25068352759199,89.178685039463,89.34286498809601,1950303.0
2016-01-27,92.06,93.45,91.42,92.51,2024150.0,0.0,1.0,88.908271006422,90.25068352759199,88.290181788041,89.34286498809601,2024150.0
2016-01-26,92.0,93.69,91.9,92.47,2795019.0,0.0,1.0,88.850325142199,90.482466984485,88.75374870182699,89.30423441194701,2795019.0
2016-01-25,93.28,93.39,90.93,91.12,2895266.0,0.0,1.0,90.08650357896,90.192737663369,87.816957230219,88.000452466926,2895266.0
2016-01-22,90.91,93.59,90.33,93.25,3258328.0,0.0,1.0,87.797641942145,90.38589054411301,87.237498587987,90.057530646848,3258328.0
2016-01-21,88.87,91.16,88.21,90.02,2994665.0,0.0,1.0,85.827482558557,88.039083043074,85.19007805210201,86.938111622834,2994665.0
2016-01-20,90.01,90.18,86.21,89.0,4292996.0,0.0,1.0,86.928453978797,87.092633927429,83.258549244663,85.95303193104,4292996.0
2016-01-19,89.76,93.53,89.6,90.91,4084559.0,0.0,1.0,86.68701287786699,90.32794467989001,86.532490573272,87.797641942145,4084559.0
2016-01-15,90.51,91.63,87.85,88.39,5386288.0,0.0,1.0,87.411336180657,88.492992312823,84.842402866763,85.363915644771,5386288.0
2016-01-14,92.74,93.05,91.7,92.21,2524476.0,0.0,1.0,89.56499080095101,89.864377766104,88.560595821083,89.05313566698,2524476.0
2016-01-13,94.85,95.0699,92.1,92.15,1989478.0,0.0,1.0,91.60275369280001,91.815125285177,88.94690158257099,88.995189802757,1989478.0
2016-01-12,95.11,95.18,93.78,94.48,1859866.0,0.0,1.0,91.85385243776699,91.921455946027,90.56938578081999,91.245420863423,1859866.0
2016-01-11,94.73,95.0,93.84,94.48,1545367.0,0.0,1.0,91.48686196435301,91.74761835335698,90.62733164504299,91.245420863423,1545367.0
2016-01-08,95.99,96.4899,93.9,94.23,1959905.0,0.0,1.0,92.70372511304001,93.18651073845899,90.685277509266,91.003979762493,1959905.0
2016-01-07,96.9,97.33,95.37,95.81,3203570.0,0.0,1.0,93.582570720425,93.99784941402399,92.104951182734,92.52988752036998,3203570.0
2016-01-06,98.07,98.64,97.52,98.26,2132436.0,0.0,1.0,94.71251507277701,95.263000782897,94.18134465073099,94.89601030948299,2132436.0
2016-01-05,96.94,98.75,96.8,98.61,2518367.0,0.0,1.0,93.621201296573,95.369234867306,93.485994280053,95.23402785078501,2518367.0
2016-01-04,96.29,96.78,95.09,96.7,2819849.0,0.0,1.0,92.99345443415599,93.466678991978,91.834537149692,93.389417839681,2819849.0
2015-12-31,97.96,97.99,96.88,96.95,1523298.0,0.0,1.0,94.606280988367,94.63525392047899,93.56325543235,93.630858940611,1523298.0
2015-12-30,99.33,99.53,98.02,98.1,1039577.0,0.0,1.0,95.929378221463,96.12253110220699,94.664226852591,94.741488004888,1039577.0
2015-12-29,98.95,99.59,98.9201,99.41,1198842.0,0.0,1.0,95.56238774805,96.18047696642999,95.533511392379,96.006639373761,1198842.0
2015-12-28,97.74,98.52,97.5,98.37,1028269.0,0.0,1.0,94.39381281954901,95.14710905445,94.162029362656,95.002244393892,1028269.0
2015-12-24,98.63,98.7,97.92,98.14,668387.0,0.0,1.0,95.25334313885901,95.32094664712,94.56765041221901,94.780118581037,668387.0
2015-12-23,96.68,98.54,96.68,98.5,1844629.0,0.0,1.0,93.37010255160601,95.166424342525,93.37010255160601,95.127793766376,1844629.0
2015-12-22,96.15,97.0,95.86,96.42,1755499.0,0.0,1.0,92.858247417635,93.679147160797,92.57817574055599,93.119003806639,1755499.0
2015-12-21,95.42,95.74,94.79,95.56,1291436.0,0.0,1.0,92.15323940292,92.46228401211,91.544807828576,92.28844641944,1291436.0
2015-12-18,95.61,95.9,94.59,94.6,3244530.0,0.0,1.0,92.336734639626,92.616806316705,91.35165494783199,91.36131259187,3244530.0
2015-12-17,97.83,97.88,96.08,96.09,1776052.0,0.0,1.0,94.480731615884,94.52901983607,92.790643909375,92.800301553412,1776052.0
2015-12-16,96.01,97.77,95.64,97.5,1892071.0,0.0,1.0,92.723040401114,94.422785751661,92.365707571738,94.162029362656,1892071.0
2015-12-15,94.87,96.15,94.775,95.61,1774602.0,0.0,1.0,91.622068980874,92.858247417635,91.530321362521,92.336734639626,1774602.0
2015-12-14,93.38,94.41,92.88,94.04,2217621.0,0.49,1.0,90.18308001933201,91.177817355163,89.700197817472,90.820484525787,2217621.0
2015-12-11,94.04,94.6,93.25,93.68,3007698.0,0.0,1.0,90.349712946207,90.887737608584,89.59071386892599,90.003839948965,3007698.0
2015-12-10,95.54,96.04,94.97,95.07,1742615.0,0.0,1.0,91.79085043471599,92.271229597552,91.24321818908199,91.33929402165,1742615.0
2015-12-09,96.29,97.44,94.86,95.54,2558788.0,0.0,1.0,92.51141917896999,93.616291253493,91.13753477325899,91.79085043471599,2558788.0
2015-12-08,97.34,97.6099,96.28,96.88,2654981.0,0.0,1.0,93.52021542092501,93.77952409302401,92.50181159571301,93.078266591116,2654981.0
2015-12-07,97.06,97.98,97.05,97.69,2485616.0,0.0,1.0,93.25120308973699,94.135100749356,93.24159550648001,93.856480834911,2485616.0
2015-12-04,98.07,99.01,97.17,97.55,3381470.0,0.0,1.0,94.221568998666,95.12468182479799,93.35688650556101,93.72197466931699,3381470.0
2015-12-03,99.43,99.68,97.44,97.89,2469641.0,0.0,1.0,95.52820032158002,95.76838990299801,93.616291253493,94.04863250004499,2469641.0
2015-12-02,100.96,101.24,99.24,99.46,1649877.0,0.0,1.0,96.998160559859,97.267172891047,95.345656239702,95.55702307135,1649877.0
2015-12-01,99.5,101.19,99.5,101.17,1994106.0,0.0,1.0,95.595453404377,97.219134974763,95.595453404377,97.19991980825,1994106.0
2015-11-30,99.95,100.21,99.23,99.38,1795429.0,0.0,1.0,96.02779465093,96.277591815604,95.336048656446,95.480162405297,1795429.0
